,São Paulo,Porto Alegre,Rio de Janeiro,Campinas,Belo Horizonte,area,rooms,bathroom,parking spaces,floor,isHouse,animal,furniture,y con + alu
7234,0,0,1,0,0,87,2,2,1,8,0,1,0,4610
4190,0,1,0,0,0,65,2,1,1,3,0,1,0,1426
9953,0,0,1,0,0,20,1,1,0,5,0,1,0,950
2260,0,0,0,0,1,200,4,1,2,4,0,1,0,2845
3651,0,0,0,1,0,50,1,1,1,5,0,0,1,1910
8664,1,0,0,0,0,150,4,3,3,1,1,1,0,7500
1703,1,0,0,0,0,35,1,1,1,2,0,1,0,2130
4279,0,0,0,0,1,220,4,3,3,4,0,1,0,6100
487,1,0,0,0,0,90,2,2,2,1,1,1,1,4100
4047,0,1,0,0,0,400,4,4,6,1,1,1,0,7000
1746,1,0,0,0,0,378,4,4,8,1,1,1,1,10000
7606,1,0,0,0,0,800,5,4,6,1,1,1,1,12000
5049,0,0,1,0,0,73,2,1,1,4,0,1,0,1825
3643,1,0,0,0,0,20,1,1,0,6,0,1,1,2402
5417,1,0,0,0,0,380,3,3,5,1,1,1,0,10900
8282,1,0,0,0,0,250,3,4,4,16,0,1,0,14121
101,0,1,0,0,0,67,3,2,2,4,0,1,0,2800
2417,1,0,0,0,0,16,1,1,0,1,0,0,0,870
2625,0,0,0,0,1,95,3,2,2,4,0,0,0,2466
5012,1,0,0,0,0,138,2,2,1,11,0,1,1,8000
10649,1,0,0,0,0,60,2,1,1,11,0,1,0,1893
10057,0,0,0,1,0,46,1,1,1,5,0,1,1,3250
4076,1,0,0,0,0,170,3,2,3,1,1,1,0,5000
9769,1,0,0,0,0,50,2,1,1,7,0,1,0,2250
107,0,0,0,1,0,284,4,3,3,4,0,1,0,8340
8697,0,1,0,0,0,135,3,2,1,8,0,1,0,3465
8776,0,0,1,0,0,57,2,1,0,7,0,1,0,1930
6436,1,0,0,0,0,68,1,2,1,6,0,1,1,11304
5683,0,0,1,0,0,36,1,1,0,6,0,1,0,1290
9022,0,0,0,0,1,98,2,1,0,1,1,0,0,1500
6911,0,0,0,0,1,50,1,1,1,4,0,0,1,2380
9734,0,0,1,0,0,50,1,1,0,8,0,0,1,4150
10655,0,0,1,0,0,170,2,3,1,2,0,1,1,6559
7831,1,0,0,0,0,87,3,2,2,17,0,1,0,3658
3678,1,0,0,0,0,300,2,1,2,1,1,1,0,2800
9052,0,0,1,0,0,60,1,1,0,4,0,0,1,3400
8895,0,0,1,0,0,320,3,2,0,5,0,0,0,8300
7659,0,0,1,0,0,85,2,1,0,9,0,1,1,7900
3919,0,0,1,0,0,115,3,2,2,5,0,1,0,4315
10372,1,0,0,0,0,134,3,3,3,11,0,0,0,9655
1149,0,0,0,0,1,144,3,1,2,1,1,1,0,2783
2317,1,0,0,0,0,90,3,2,2,10,0,1,0,2450
6618,1,0,0,0,0,35,1,1,1,6,0,0,1,3946
4890,1,0,0,0,0,46,1,1,1,12,0,0,1,6445
2968,0,0,1,0,0,280,3,3,2,2,0,1,1,14500
8406,1,0,0,0,0,195,3,4,3,1,1,1,0,8500
1523,1,0,0,0,0,280,4,4,4,6,0,0,1,9200
8768,1,0,0,0,0,69,2,1,1,6,0,1,0,2200
4963,1,0,0,0,0,102,3,2,2,1,0,1,0,3200
7259,1,0,0,0,0,45,2,1,0,3,0,0,0,1772
2108,1,0,0,0,0,27,1,1,1,6,0,0,1,2550
360,1,0,0,0,0,75,2,2,2,7,0,0,1,8200
3872,1,0,0,0,0,54,1,1,1,7,0,1,0,4200
6330,0,0,1,0,0,153,3,2,1,2,0,1,0,4050
7211,0,1,0,0,0,220,4,3,1,1,1,0,1,2230
5218,1,0,0,0,0,250,4,4,3,5,0,0,1,12341
3467,0,0,1,0,0,270,3,2,1,6,0,0,0,6000
1783,0,0,1,0,0,160,3,3,1,4,0,1,0,3950
9172,0,1,0,0,0,25,1,1,0,12,0,0,0,990
7335,1,0,0,0,0,120,3,1,4,1,1,1,0,3500
5114,0,1,0,0,0,73,3,2,1,1,0,1,0,2131
4110,0,0,0,0,1,32,1,1,0,1,1,0,1,1800
510,0,0,0,0,1,417,3,5,8,1,1,1,0,7650
8814,0,0,0,1,0,104,2,2,2,7,0,1,1,5300
9902,1,0,0,0,0,290,3,3,1,5,0,1,0,5000
1921,0,0,0,0,1,58,2,2,1,4,0,1,0,1260
251,1,0,0,0,0,173,3,3,3,2,0,1,0,5000
3855,0,0,0,0,1,200,3,3,0,1,1,1,0,1800
5627,0,0,0,0,1,88,3,2,1,2,0,1,0,1739
1147,1,0,0,0,0,330,3,3,5,1,1,1,0,8500
8886,0,0,1,0,0,70,1,1,0,1,0,1,0,3034
543,1,0,0,0,0,80,3,2,1,1,1,1,0,2240
6822,1,0,0,0,0,70,2,1,0,1,0,1,0,3521
346,0,0,0,0,1,204,4,4,4,22,0,0,1,12701
5972,0,0,0,1,0,60,2,1,1,3,0,1,0,1165
7007,1,0,0,0,0,180,5,3,2,1,1,0,0,9000
4562,1,0,0,0,0,68,1,1,1,12,0,1,1,10240
9829,1,0,0,0,0,75,3,2,2,3,0,1,0,2750
8937,1,0,0,0,0,52,2,1,1,7,0,1,0,1973
6569,1,0,0,0,0,45,1,1,1,5,0,1,1,4369
10134,1,0,0,0,0,44,1,1,1,1,0,1,0,2100
4216,0,0,0,0,1,310,4,4,3,1,0,0,0,3360
3842,1,0,0,0,0,98,2,2,0,6,0,1,0,3160
2685,1,0,0,0,0,122,2,2,2,10,0,1,0,5711
9663,0,0,0,0,1,240,4,4,6,13,0,0,0,16700
7676,1,0,0,0,0,212,3,3,3,9,0,1,0,13000
2513,1,0,0,0,0,215,3,2,0,4,0,0,0,5054
7347,0,1,0,0,0,63,2,1,0,12,0,1,0,1670
3573,1,0,0,0,0,187,3,3,2,2,0,1,0,4250
7453,1,0,0,0,0,80,2,1,0,1,1,1,0,1200
3131,1,0,0,0,0,136,3,3,3,4,0,1,1,7970
10058,1,0,0,0,0,104,3,3,2,8,0,0,0,5400
10148,0,1,0,0,0,48,1,1,0,2,0,1,0,1120
883,1,0,0,0,0,170,2,2,5,1,1,1,0,5500
5994,1,0,0,0,0,25,1,1,0,23,0,1,0,2632
3132,1,0,0,0,0,250,3,2,2,1,1,1,0,3500
8403,0,0,1,0,0,65,1,1,0,10,0,0,1,3072
7937,0,1,0,0,0,38,1,1,0,11,0,0,0,1390
3325,1,0,0,0,0,73,2,1,1,4,0,1,0,1980
5517,1,0,0,0,0,161,3,5,3,12,0,1,0,9041
10654,0,0,1,0,0,40,1,1,0,2,0,1,1,2832
4721,0,0,1,0,0,60,1,1,0,1,0,1,0,1350
1432,1,0,0,0,0,60,2,1,0,1,1,1,0,1200
582,0,0,1,0,0,70,3,2,1,6,0,1,0,1796
9090,0,0,0,1,0,68,3,2,2,9,0,1,1,3250
5918,0,0,0,0,1,95,3,4,1,9,0,1,0,3957
8793,1,0,0,0,0,52,1,1,1,7,0,1,0,2470
9016,1,0,0,0,0,53,2,1,1,7,0,0,0,1800
9505,1,0,0,0,0,230,6,4,8,1,1,1,0,10000
5033,1,0,0,0,0,200,3,2,2,1,1,1,0,4500
8816,0,1,0,0,0,55,1,1,0,2,0,1,1,1470
6539,0,0,0,0,1,163,4,4,0,14,0,1,0,8505
1245,0,0,1,0,0,80,2,1,0,6,0,1,0,2550
6084,1,0,0,0,0,50,2,1,2,1,0,0,0,2750
9335,0,0,1,0,0,93,2,2,1,4,0,1,0,1400
3519,1,0,0,0,0,65,2,1,1,3,0,1,0,3850
2813,0,1,0,0,0,85,3,3,0,1,1,0,0,3050
9298,0,0,0,0,1,75,3,2,1,5,0,1,0,1767
8891,1,0,0,0,0,88,2,3,2,4,0,1,0,4003
10285,1,0,0,0,0,48,2,1,1,15,0,0,0,1660
3698,0,0,1,0,0,300,4,4,1,1,1,1,0,3400
9894,1,0,0,0,0,40,1,1,0,1,1,0,0,750
1087,0,0,1,0,0,90,2,2,2,3,0,1,1,5950
7485,1,0,0,0,0,300,4,5,4,9,0,1,1,11300
4995,1,0,0,0,0,260,4,2,2,3,0,1,0,7715
3288,1,0,0,0,0,101,3,3,2,1,0,1,0,5380
5215,1,0,0,0,0,400,4,3,2,1,1,1,0,8000
9034,0,0,1,0,0,90,2,3,0,2,0,1,0,2770
1807,0,0,0,1,0,60,3,2,0,2,0,1,0,2712
3422,1,0,0,0,0,28,1,1,0,1,1,1,0,1300
8581,1,0,0,0,0,90,2,1,1,2,0,1,0,4000
4387,1,0,0,0,0,368,4,6,6,3,0,1,0,11948
8516,0,0,1,0,0,48,1,1,0,6,0,1,1,1710
4272,0,0,0,1,0,90,3,2,0,1,1,1,0,1590
3529,1,0,0,0,0,65,3,2,2,3,0,1,0,3245
5837,0,0,1,0,0,40,1,1,0,9,0,1,0,1805
1923,1,0,0,0,0,240,3,3,0,1,1,1,0,4600
4486,0,0,0,1,0,62,2,2,2,7,0,1,0,2500
6479,1,0,0,0,0,33,1,1,0,1,0,0,0,1338
4295,1,0,0,0,0,63,2,2,1,1,1,1,0,1920
2301,0,0,0,1,0,68,3,1,1,2,0,1,0,1655
5667,1,0,0,0,0,45,1,1,1,2,0,0,1,3751
483,1,0,0,0,0,136,2,4,2,7,0,1,0,6340
4625,0,0,0,0,1,32,1,1,1,9,0,1,0,1697
5605,0,1,0,0,0,60,1,1,2,1,0,1,1,2000
1710,1,0,0,0,0,200,4,4,4,1,1,1,0,4220
5151,1,0,0,0,0,100,3,2,1,1,1,1,0,3500
4407,0,1,0,0,0,92,3,1,0,1,0,1,0,2400
6779,0,1,0,0,0,42,1,1,1,2,0,1,0,2453
1536,1,0,0,0,0,50,1,1,0,3,0,1,0,1900
4877,1,0,0,0,0,420,4,4,4,19,0,1,0,15950
2816,0,0,1,0,0,160,4,2,0,1,1,1,0,6800
8671,1,0,0,0,0,50,2,1,1,7,0,0,1,1822
3936,0,1,0,0,0,121,2,1,2,3,0,1,0,1500
1118,0,0,0,0,1,83,3,3,2,6,0,1,1,4105
10239,1,0,0,0,0,46,1,1,1,7,0,1,0,2850
5292,1,0,0,0,0,77,3,1,2,10,0,1,0,4453
8165,1,0,0,0,0,80,2,1,0,1,1,1,0,1280
4708,1,0,0,0,0,220,4,2,1,2,0,0,0,7340
7375,1,0,0,0,0,311,4,4,4,7,0,1,1,17100
9112,1,0,0,0,0,130,3,2,2,8,0,1,0,7810
10203,0,0,1,0,0,95,2,1,0,6,0,1,0,2445
5076,1,0,0,0,0,135,3,3,0,1,0,0,0,5210
3344,1,0,0,0,0,198,3,3,6,1,1,1,1,4200
10548,1,0,0,0,0,70,2,2,0,14,0,0,0,3800
3130,1,0,0,0,0,36,1,1,0,1,0,1,0,860
9128,0,0,1,0,0,18,1,1,0,14,0,0,0,1420
8720,1,0,0,0,0,136,3,3,2,1,0,0,0,4880
3349,0,1,0,0,0,162,3,1,0,1,0,1,0,1740
35,0,1,0,0,0,38,1,1,2,11,0,0,0,2200
1284,1,0,0,0,0,74,1,2,2,16,0,1,1,4860
960,0,0,1,0,0,25,1,1,0,1,0,1,0,750
9898,1,0,0,0,0,19,1,1,0,1,1,0,0,1200
3608,0,0,1,0,0,35,1,1,0,3,0,0,1,3125
4822,1,0,0,0,0,65,2,2,2,21,0,1,0,3850
6830,0,0,0,0,1,92,3,2,2,3,0,1,0,2250
5594,1,0,0,0,0,75,2,2,0,1,1,1,0,2000
4572,0,1,0,0,0,68,1,1,1,1,0,0,1,1745
39,0,1,0,0,0,40,1,1,1,6,0,1,1,3380
6691,0,0,0,1,0,45,1,1,1,4,0,1,0,1570
5340,1,0,0,0,0,102,2,3,2,1,1,1,0,2500
4385,0,0,1,0,0,80,2,2,1,2,0,1,1,2850
8401,1,0,0,0,0,20,1,1,0,1,1,1,1,2402
1369,1,0,0,0,0,420,5,4,4,7,0,1,0,20000
9417,0,0,1,0,0,79,2,2,1,4,0,1,0,2502
8876,0,0,0,1,0,105,3,2,2,6,0,1,0,2820
5082,0,0,1,0,0,30,1,1,0,8,0,1,0,1356
9169,1,0,0,0,0,23,1,1,0,25,0,1,0,2549
2724,1,0,0,0,0,129,3,4,2,8,0,1,0,4800
14,1,0,0,0,0,100,2,2,2,24,0,1,1,5270
1084,0,0,1,0,0,80,2,1,0,2,0,1,0,2300
2523,1,0,0,0,0,42,1,1,1,14,0,1,1,3852
2412,1,0,0,0,0,100,3,2,0,7,0,1,0,2770
1406,0,0,0,1,0,85,3,2,2,9,0,1,1,3510
4376,1,0,0,0,0,100,2,1,2,1,1,1,0,3200
6854,0,0,1,0,0,120,3,2,0,5,0,1,1,2780
3931,1,0,0,0,0,65,3,1,1,7,0,1,0,1968
9241,0,0,0,1,0,12732,3,2,0,3,0,1,0,2300
8285,1,0,0,0,0,30,1,1,1,16,0,1,0,2198
7692,0,1,0,0,0,30,1,1,1,3,0,1,0,1310
399,1,0,0,0,0,355,4,4,3,1,1,1,0,7300
9835,1,0,0,0,0,60,1,1,1,19,0,1,0,4090
2340,1,0,0,0,0,64,3,2,2,16,0,1,0,2030
2392,1,0,0,0,0,72,3,2,2,15,0,1,0,3616
668,0,0,0,0,1,80,3,3,1,3,0,1,0,2061
1123,0,0,1,0,0,85,2,3,1,5,0,1,0,8050
5640,1,0,0,0,0,158,4,4,4,10,0,1,1,4750
10319,1,0,0,0,0,52,2,1,0,3,0,1,0,1340
265,1,0,0,0,0,500,4,6,3,1,1,1,0,13766
563,1,0,0,0,0,68,2,2,1,2,0,1,1,3590
1486,0,1,0,0,0,75,3,2,1,3,0,0,1,2400
439,0,1,0,0,0,55,1,1,0,14,0,1,0,1720
6611,1,0,0,0,0,200,3,2,4,1,1,1,0,8500
9864,0,0,0,1,0,270,4,5,0,1,1,0,0,5500
3069,0,1,0,0,0,75,2,2,0,5,0,1,0,2900
9688,0,0,1,0,0,39,1,1,0,3,0,1,0,1360
5344,0,1,0,0,0,140,2,2,1,2,0,1,1,3252
2425,1,0,0,0,0,116,3,2,2,5,0,1,0,5684
2453,0,0,1,0,0,310,3,2,0,5,0,1,0,7700
6444,1,0,0,0,0,270,3,4,3,4,0,1,1,11200
9683,1,0,0,0,0,144,4,4,4,3,0,1,0,6800
304,1,0,0,0,0,161,4,3,2,1,0,1,0,11450
5563,0,0,1,0,0,100,3,2,2,13,0,1,0,3370
6666,0,0,1,0,0,60,2,1,1,1,0,0,0,2300
1350,1,0,0,0,0,73,2,2,2,1,0,1,0,1978
900,0,0,0,0,1,130,3,3,1,2,0,1,0,3890
5339,1,0,0,0,0,100,2,2,2,1,1,1,0,2000
10356,0,0,0,0,1,120,4,3,2,5,0,1,0,3300
8584,0,1,0,0,0,80,2,1,0,1,1,1,1,1610
10070,1,0,0,0,0,320,4,5,3,1,1,1,0,5000
9988,0,0,0,0,1,250,2,3,2,1,1,1,0,3500
4075,1,0,0,0,0,60,2,1,0,15,0,1,1,3490
914,1,0,0,0,0,117,3,3,2,1,1,1,0,2700
3295,1,0,0,0,0,86,3,1,1,6,0,1,0,3610
7538,1,0,0,0,0,236,4,5,4,7,0,1,0,13500
4149,0,0,0,0,1,41,2,1,1,1,0,1,0,1300
6385,1,0,0,0,0,191,4,3,3,13,0,0,0,12300
6280,0,0,0,1,0,87,3,2,1,12,0,1,1,2320
8019,1,0,0,0,0,105,2,3,2,6,0,1,0,5050
7428,1,0,0,0,0,206,3,3,1,11,0,1,1,10314
5273,1,0,0,0,0,186,4,4,3,11,0,1,0,7500
7684,1,0,0,0,0,45,1,1,1,1,1,0,0,1500
7153,1,0,0,0,0,139,3,4,2,12,0,0,1,12350
6018,1,0,0,0,0,215,4,4,2,16,0,0,1,8600
8336,0,0,0,0,1,110,3,2,2,3,0,0,1,3150
7077,1,0,0,0,0,180,3,2,2,3,0,1,0,4700
8596,0,0,0,1,0,60,1,2,1,10,0,1,0,1968
1984,1,0,0,0,0,120,3,4,2,1,1,1,0,3637
10217,1,0,0,0,0,136,3,4,3,13,0,1,0,7605
9619,0,0,0,0,1,50,3,1,1,4,0,1,0,1460
5312,0,0,1,0,0,50,2,2,1,6,0,1,0,1800
3279,1,0,0,0,0,55,1,1,1,10,0,1,1,2370
2310,1,0,0,0,0,700,4,7,8,1,1,1,1,15000
4838,1,0,0,0,0,34,1,1,1,4,0,0,0,2675
8679,1,0,0,0,0,360,3,5,6,17,0,1,0,10552
6939,1,0,0,0,0,44,1,1,0,1,0,0,0,1200
6909,1,0,0,0,0,180,3,4,3,15,0,1,1,7841
9368,1,0,0,0,0,800,5,7,6,1,1,1,0,15001
866,0,0,0,1,0,50,1,1,0,7,0,1,0,955
2487,1,0,0,0,0,127,2,2,2,5,0,1,0,7050
424,0,1,0,0,0,84,3,2,2,4,0,1,0,4050
7885,0,0,0,1,0,245,4,3,2,9,0,1,0,12600
9460,0,0,1,0,0,100,2,1,1,4,0,1,0,6700
4537,0,1,0,0,0,46,1,1,1,1,0,1,0,1490
6186,1,0,0,0,0,140,3,2,1,6,0,0,0,4140
6695,1,0,0,0,0,15,1,1,0,1,1,0,1,1200
8398,0,0,1,0,0,34,1,1,0,7,0,1,0,2325
7261,1,0,0,0,0,50,1,1,0,1,1,1,0,1400
6681,0,0,0,0,1,230,5,3,2,3,0,1,0,2700
6545,1,0,0,0,0,220,3,4,2,1,1,0,0,3500
8637,1,0,0,0,0,38,1,1,1,16,0,1,0,2620
5412,1,0,0,0,0,47,3,1,1,9,0,1,0,1720
10251,0,1,0,0,0,45,1,1,1,6,0,1,0,1995
6526,0,0,1,0,0,26,1,1,0,2,0,0,0,1550
6151,1,0,0,0,0,40,1,1,0,6,0,1,0,4353
5474,0,0,1,0,0,95,3,2,1,6,0,1,0,2352
795,0,0,1,0,0,80,2,1,0,9,0,1,0,1161
7148,1,0,0,0,0,131,4,4,2,11,0,1,0,5900
1121,1,0,0,0,0,250,3,3,3,1,1,1,0,3210
3094,1,0,0,0,0,280,3,4,2,1,1,1,1,16000
3889,1,0,0,0,0,360,4,5,4,2,0,1,1,18170
4978,1,0,0,0,0,87,2,1,1,5,0,1,0,2020
6075,0,0,1,0,0,110,3,2,1,8,0,1,0,3988
8878,1,0,0,0,0,65,3,2,1,2,0,1,0,2372
6825,1,0,0,0,0,96,3,1,2,1,0,1,0,2447
8332,1,0,0,0,0,190,3,4,3,2,0,1,0,9750
5284,1,0,0,0,0,266,3,5,1,15,0,1,1,6395
318,1,0,0,0,0,234,3,5,4,1,1,1,1,3680
2602,1,0,0,0,0,50,1,1,1,1,1,0,0,1500
2239,0,1,0,0,0,80,2,2,1,5,0,1,1,2640
10562,0,0,1,0,0,100,3,2,1,5,0,1,0,2754
967,1,0,0,0,0,212,4,5,4,16,0,1,0,14000
2848,1,0,0,0,0,40,1,1,0,1,1,0,0,780
7454,0,0,0,0,1,247,4,2,1,1,1,1,0,2600
2122,1,0,0,0,0,240,4,4,4,26,0,1,0,16250
932,1,0,0,0,0,200,3,4,1,10,0,1,0,2790
5337,0,0,0,0,1,343,4,3,4,1,1,1,0,7000
1740,0,1,0,0,0,93,2,2,3,6,0,1,1,4773
9689,1,0,0,0,0,211,2,2,2,1,1,1,0,4501
1022,0,0,0,1,0,40,1,1,0,8,0,0,0,922
367,1,0,0,0,0,210,3,4,4,13,0,0,0,15150
8215,1,0,0,0,0,80,2,2,1,7,0,1,0,5063
3501,1,0,0,0,0,70,2,1,0,6,0,1,0,2280
5304,1,0,0,0,0,67,2,2,2,1,0,1,0,2990
7740,1,0,0,0,0,105,3,2,3,4,0,1,0,3630
135,1,0,0,0,0,180,3,3,4,1,1,1,0,3700
9650,1,0,0,0,0,190,3,3,4,1,1,1,1,4501
10374,1,0,0,0,0,87,2,2,1,3,0,1,1,5437
6244,1,0,0,0,0,130,3,2,0,1,0,1,1,5350
6312,1,0,0,0,0,44,1,1,0,1,0,1,0,1500
5464,1,0,0,0,0,131,3,2,1,14,0,1,0,5885
398,1,0,0,0,0,385,3,4,3,1,1,1,0,9000
8252,1,0,0,0,0,78,2,2,1,8,0,1,0,2266
3873,1,0,0,0,0,113,3,2,2,1,1,1,0,2990
9386,0,0,0,0,1,251,3,3,4,16,0,0,0,15000
7563,0,0,1,0,0,280,3,3,1,4,0,1,0,3590
1864,1,0,0,0,0,50,1,1,0,1,1,1,0,1600
5853,0,0,0,0,1,84,3,2,0,3,0,1,0,1500
7105,1,0,0,0,0,35,1,1,0,7,0,1,0,1600
7247,1,0,0,0,0,40,1,1,0,18,0,0,1,2600
10690,0,0,1,0,0,120,2,2,2,8,0,1,1,13585
7060,1,0,0,0,0,60,2,1,1,1,1,0,0,1700
7268,0,0,0,1,0,76,2,2,2,9,0,1,1,3779
952,0,1,0,0,0,280,5,4,8,1,1,1,0,10000
8222,1,0,0,0,0,190,3,2,1,8,0,1,1,6680
8136,0,0,0,1,0,49,1,1,0,3,0,1,0,1000
3287,0,0,1,0,0,140,3,2,1,10,0,1,0,5200
4043,1,0,0,0,0,33,1,1,0,3,0,1,0,2000
8685,0,0,0,0,1,150,4,2,2,1,0,1,0,5057
673,1,0,0,0,0,31,1,1,1,9,0,0,1,4900
5689,0,0,0,1,0,55,1,2,1,4,0,0,0,1698
4639,1,0,0,0,0,180,4,4,2,2,0,1,0,4600
3017,1,0,0,0,0,244,3,4,2,7,0,1,1,15500
9210,1,0,0,0,0,47,2,1,1,1,0,1,0,1350
8698,1,0,0,0,0,400,3,3,1,3,0,1,0,14000
4169,0,1,0,0,0,50,2,1,1,4,0,1,1,3095
10661,0,0,0,1,0,250,1,2,2,1,1,1,0,2200
2069,0,0,0,1,0,296,6,4,8,1,1,1,0,5200
2325,0,0,0,0,1,140,4,2,2,4,0,1,0,5195
2337,0,0,0,1,0,400,5,7,4,5,0,1,0,11100
9289,1,0,0,0,0,84,3,2,2,7,0,0,0,3700
3396,0,0,0,0,1,360,6,2,0,1,1,0,0,8000
5770,1,0,0,0,0,57,1,1,0,10,0,1,1,6300
592,0,0,0,0,1,450,2,2,5,1,1,1,0,1512
3370,1,0,0,0,0,110,6,5,7,1,1,1,0,9810
5706,0,1,0,0,0,350,5,4,2,1,1,1,0,4794
4123,0,1,0,0,0,40,1,1,1,8,0,1,0,2700
5384,1,0,0,0,0,83,2,2,1,21,0,1,0,5582
6940,1,0,0,0,0,54,2,2,1,4,0,1,0,3754
8288,0,0,1,0,0,130,3,1,0,4,0,1,0,7850
4929,1,0,0,0,0,72,3,1,1,2,0,1,0,2061
774,0,1,0,0,0,42,1,1,1,11,0,1,0,2700
1877,0,0,0,1,0,462,4,7,4,1,1,1,0,5000
5159,0,1,0,0,0,40,1,1,0,5,0,0,1,2000
1498,1,0,0,0,0,50,2,1,0,10,0,1,0,1880
8414,0,0,0,1,0,270,3,3,3,1,0,1,0,9720
7897,1,0,0,0,0,92,3,3,1,3,0,1,1,5000
7307,1,0,0,0,0,136,4,2,3,12,0,1,0,4500
3418,0,1,0,0,0,38,1,1,0,3,0,1,0,1600
3625,0,1,0,0,0,60,1,1,1,2,0,0,0,1635
7194,1,0,0,0,0,200,3,3,2,7,0,0,1,8500
1434,0,0,1,0,0,76,2,1,1,3,0,1,0,4103
1660,1,0,0,0,0,500,5,7,5,22,0,1,0,19500
8848,0,0,0,0,1,55,2,1,1,9,0,0,0,1955
3,0,1,0,0,0,51,2,1,0,2,0,1,0,1382
4439,1,0,0,0,0,300,4,4,4,1,0,1,0,4200
9671,0,1,0,0,0,65,2,1,1,2,0,1,0,1535
9438,1,0,0,0,0,45,1,1,0,7,0,1,0,1540
10100,1,0,0,0,0,340,3,5,5,1,1,1,0,6000
1285,0,1,0,0,0,350,3,4,4,1,1,0,0,3500
2586,0,1,0,0,0,47,1,1,0,20,0,1,0,1035
8254,1,0,0,0,0,84,2,1,2,11,0,0,1,4800
4672,0,0,0,0,1,97,3,3,1,1,0,0,0,1620
3023,0,0,0,1,0,76,2,1,0,1,0,1,0,1000
9698,1,0,0,0,0,35,1,1,1,5,0,0,1,3734
