,São Paulo,Porto Alegre,Rio de Janeiro,Campinas,Belo Horizonte,area,rooms,bathroom,parking spaces,floor,isHouse,animal,furniture,y con + alu
1143,0,0,0,0,1,70,2,1,1,3,0,1,0,1315
7294,1,0,0,0,0,62,1,2,1,2,0,1,1,13061
9645,1,0,0,0,0,197,4,3,1,3,0,1,0,5440
2740,1,0,0,0,0,230,3,2,2,1,1,1,1,4590
9121,1,0,0,0,0,176,3,4,3,20,0,0,0,11504
4631,1,0,0,0,0,400,3,6,3,1,1,1,0,4780
1036,1,0,0,0,0,170,3,2,1,14,0,1,1,12170
2131,0,1,0,0,0,100,3,2,2,2,0,1,0,3149
1604,0,0,0,0,1,110,4,2,0,1,1,1,0,1850
8080,0,0,0,0,1,260,4,4,2,1,1,1,0,15000
5084,0,0,1,0,0,298,5,3,2,3,0,1,0,6300
9195,1,0,0,0,0,270,4,4,4,1,1,1,0,10800
7341,0,1,0,0,0,216,3,3,3,1,1,1,0,2390
10416,0,1,0,0,0,350,3,3,3,1,1,1,0,15000
8157,1,0,0,0,0,35,1,1,0,4,0,1,0,2020
7848,1,0,0,0,0,147,3,3,3,5,0,1,1,14000
9122,0,1,0,0,0,48,1,1,0,4,0,1,1,1550
8941,1,0,0,0,0,40,1,1,0,2,0,0,1,3185
3667,1,0,0,0,0,98,3,2,2,1,0,1,0,3160
8732,1,0,0,0,0,120,3,2,1,1,1,1,0,1800
1371,1,0,0,0,0,44,1,1,0,7,0,1,0,2160
9266,0,0,1,0,0,140,3,2,1,6,0,1,0,6900
1703,1,0,0,0,0,35,1,1,1,2,0,1,0,2130
179,0,0,0,0,1,90,2,2,2,3,0,1,0,2200
6481,0,0,1,0,0,65,2,1,0,1,0,0,0,2160
8309,1,0,0,0,0,700,4,6,6,1,1,1,0,12500
9585,1,0,0,0,0,50,2,1,1,1,0,1,0,2000
932,1,0,0,0,0,200,3,4,1,10,0,1,0,2790
5455,0,0,1,0,0,60,2,1,0,6,0,1,0,1950
5127,1,0,0,0,0,33,1,1,1,12,0,1,1,3765
4409,0,0,0,0,1,268,4,4,3,3,0,1,0,3400
2609,1,0,0,0,0,170,3,4,0,14,0,1,1,6200
2309,0,0,0,0,1,360,3,1,3,1,1,1,0,1500
9918,1,0,0,0,0,300,4,4,5,11,0,1,0,14150
5476,1,0,0,0,0,380,7,7,6,1,1,1,0,5800
10602,0,0,1,0,0,55,1,1,0,9,0,1,1,3200
813,0,0,0,0,1,305,4,3,3,14,0,1,0,11500
5515,1,0,0,0,0,42,1,1,1,4,0,0,1,5060
3753,1,0,0,0,0,167,3,3,2,7,0,1,0,6815
7638,1,0,0,0,0,288,4,5,4,2,0,1,1,8400
6885,0,0,0,0,1,50,2,1,1,4,0,1,0,1298
3345,0,0,0,1,0,74,3,2,1,10,0,1,0,2500
6076,0,0,0,0,1,77,3,3,2,2,0,1,1,3210
7532,1,0,0,0,0,70,2,1,1,12,0,1,0,4400
7939,1,0,0,0,0,87,2,2,2,12,0,1,0,3950
4584,1,0,0,0,0,215,4,4,3,6,0,1,0,7200
3547,1,0,0,0,0,45,1,1,1,2,0,1,1,2760
8340,1,0,0,0,0,120,3,2,2,1,0,1,0,6390
9693,1,0,0,0,0,120,3,3,2,1,1,1,0,2900
258,1,0,0,0,0,87,3,2,1,17,0,1,0,2250
6286,1,0,0,0,0,140,3,3,1,1,0,1,0,2504
5952,1,0,0,0,0,70,2,2,1,1,1,1,0,1650
5598,1,0,0,0,0,45,2,1,1,2,0,0,1,4300
2583,0,1,0,0,0,118,3,2,1,3,0,1,0,2100
6425,1,0,0,0,0,250,3,3,4,1,1,1,1,6750
1468,0,0,1,0,0,78,3,1,1,14,0,0,1,3700
716,0,1,0,0,0,30,1,1,0,4,0,1,0,953
6504,0,0,0,0,1,471,5,6,3,1,1,1,0,14000
991,0,1,0,0,0,49,2,1,1,1,1,1,0,1370
4528,0,0,1,0,0,102,3,4,3,3,0,1,1,7800
9378,0,0,1,0,0,60,2,1,0,1,1,1,0,1800
4331,1,0,0,0,0,129,3,2,3,7,0,1,0,4590
6383,1,0,0,0,0,480,4,5,3,1,1,1,0,6300
3302,1,0,0,0,0,270,5,4,4,6,0,0,0,10500
7926,1,0,0,0,0,100,3,3,0,5,0,1,0,7150
8559,1,0,0,0,0,117,3,3,1,13,0,1,0,6120
1399,0,1,0,0,0,117,2,1,1,4,0,1,0,2480
8464,0,0,1,0,0,120,3,2,0,5,0,1,1,5981
1542,1,0,0,0,0,226,4,5,4,1,0,1,0,19360
7670,1,0,0,0,0,300,4,4,1,11,0,1,0,10200
8297,1,0,0,0,0,48,1,1,0,1,1,0,0,1150
4937,0,0,1,0,0,100,3,2,1,6,0,1,0,5100
2379,1,0,0,0,0,53,2,1,1,8,0,1,1,2150
6799,1,0,0,0,0,183,4,3,4,3,0,1,0,8330
23,1,0,0,0,0,35,1,1,0,1,1,1,0,1100
5417,1,0,0,0,0,380,3,3,5,1,1,1,0,10900
8030,1,0,0,0,0,57,2,2,1,10,0,0,0,3170
8780,1,0,0,0,0,110,2,2,1,1,0,1,0,3916
5039,1,0,0,0,0,263,4,5,4,21,0,1,0,15400
7710,1,0,0,0,0,470,4,4,5,19,0,1,0,13641
6274,0,0,1,0,0,67,2,1,0,4,0,1,0,2339
4884,1,0,0,0,0,70,1,1,1,2,0,1,0,1500
2603,1,0,0,0,0,120,3,1,4,1,1,1,0,3500
417,1,0,0,0,0,290,6,3,4,1,1,1,0,8000
3250,0,0,1,0,0,150,3,2,1,10,0,1,0,2800
8679,1,0,0,0,0,360,3,5,6,17,0,1,0,10552
4598,0,0,0,0,1,60,1,2,1,7,0,1,0,4400
5460,0,1,0,0,0,80,3,1,0,1,1,0,0,1250
7335,1,0,0,0,0,120,3,1,4,1,1,1,0,3500
8385,1,0,0,0,0,52,1,2,1,4,0,1,1,4645
502,1,0,0,0,0,90,2,2,2,17,0,1,1,13700
7886,1,0,0,0,0,500,7,4,3,1,1,1,1,14000
3323,0,0,0,0,1,50,2,1,1,4,0,1,0,845
4525,0,0,1,0,0,38,1,1,0,6,0,1,0,1665
6783,1,0,0,0,0,70,1,1,0,1,1,0,0,1520
6706,0,0,0,1,0,63,2,1,0,1,1,1,0,1250
317,1,0,0,0,0,450,4,3,8,1,1,1,0,14000
2374,1,0,0,0,0,60,2,1,0,3,0,1,0,2337
9125,0,0,0,0,1,55,2,1,1,8,0,0,0,1060
9231,0,0,1,0,0,145,3,2,1,3,0,1,0,8200
7749,1,0,0,0,0,125,3,2,0,2,0,0,0,4251
5705,1,0,0,0,0,400,4,3,4,1,1,1,0,3760
6015,0,0,1,0,0,200,4,5,3,1,1,1,0,6200
1438,1,0,0,0,0,81,2,1,1,3,0,0,0,3520
6100,0,0,0,0,1,88,3,2,1,3,0,1,0,1610
7898,1,0,0,0,0,170,3,3,3,7,0,1,0,5450
2705,1,0,0,0,0,391,4,5,2,15,0,1,0,12900
5177,0,0,1,0,0,70,2,2,1,11,0,1,0,2400
10220,1,0,0,0,0,173,3,4,3,2,0,1,0,4950
7523,0,0,1,0,0,150,2,1,0,2,0,1,0,1950
7613,1,0,0,0,0,241,4,4,3,3,0,1,0,8376
8891,1,0,0,0,0,88,2,3,2,4,0,1,0,4003
10643,1,0,0,0,0,90,2,1,0,1,1,0,0,1450
2180,0,0,1,0,0,110,1,1,2,3,0,1,0,6436
8187,1,0,0,0,0,700,4,10,0,1,1,1,0,15000
3897,1,0,0,0,0,91,2,3,2,10,0,1,0,6025
6310,0,0,0,0,1,180,3,1,0,1,1,1,0,3400
9439,1,0,0,0,0,76,3,2,2,8,0,1,0,4079
1158,0,0,0,1,0,111,3,3,3,6,0,0,1,6000
9793,1,0,0,0,0,40,1,1,0,1,1,0,0,1200
1220,0,0,0,0,1,30,1,1,1,1,0,1,1,1690
5683,0,0,1,0,0,36,1,1,0,6,0,1,0,1290
10616,0,0,1,0,0,40,1,1,0,2,0,1,0,2290
9746,1,0,0,0,0,350,3,4,4,1,1,1,0,3100
892,1,0,0,0,0,54,2,1,1,1,1,1,0,1730
3370,1,0,0,0,0,110,6,5,7,1,1,1,0,9810
815,1,0,0,0,0,150,3,3,2,1,1,1,0,3300
7272,1,0,0,0,0,54,2,1,1,7,0,0,0,1935
3230,1,0,0,0,0,41,1,1,1,4,0,0,1,3600
3690,1,0,0,0,0,45,2,1,1,7,0,0,0,1610
6996,0,0,0,0,1,640,6,7,5,1,1,1,1,6141
7867,0,1,0,0,0,140,3,1,0,8,0,1,0,2900
2241,1,0,0,0,0,32,1,1,1,22,0,1,1,4000
7781,1,0,0,0,0,64,2,1,1,7,0,1,0,2600
1554,1,0,0,0,0,25,1,1,0,2,0,1,0,1435
9149,1,0,0,0,0,103,2,3,2,17,0,1,1,16000
6260,1,0,0,0,0,80,2,1,1,18,0,0,0,2050
9375,0,0,1,0,0,55,1,1,0,1,0,1,0,1385
2205,0,0,1,0,0,73,2,1,1,8,0,1,0,2122
620,0,1,0,0,0,42,1,1,0,1,0,1,1,1250
8738,1,0,0,0,0,96,3,3,0,6,0,1,0,4042
8452,1,0,0,0,0,310,3,4,3,8,0,1,0,6900
2594,1,0,0,0,0,110,2,2,0,4,0,1,1,4716
1202,1,0,0,0,0,130,3,4,0,3,0,1,1,2443
8354,1,0,0,0,0,156,3,4,3,4,0,1,0,10650
5010,1,0,0,0,0,212,4,3,6,1,1,1,1,2983
9511,0,0,1,0,0,450,4,5,3,11,0,0,0,10100
6818,0,0,1,0,0,93,2,1,1,7,0,1,1,6700
5659,0,0,1,0,0,105,2,1,0,2,0,1,0,1650
2440,0,0,0,1,0,65,2,1,1,3,0,1,0,1670
10667,0,0,0,0,1,75,2,1,1,3,0,0,0,1430
2124,0,0,1,0,0,20,1,1,0,1,1,1,0,700
6080,1,0,0,0,0,130,2,2,2,1,1,1,1,4400
8394,1,0,0,0,0,67,2,1,1,7,0,1,0,1990
931,0,1,0,0,0,90,3,2,0,3,0,0,0,1510
1185,0,0,0,1,0,151,2,2,1,8,0,1,1,2900
5280,1,0,0,0,0,145,2,2,2,10,0,1,0,10160
8928,0,0,1,0,0,15,1,1,0,2,0,0,0,1000
2869,1,0,0,0,0,57,1,1,0,9,0,1,1,6300
1607,1,0,0,0,0,213,4,3,5,1,1,1,0,3900
6730,1,0,0,0,0,187,4,5,3,5,0,1,0,9212
4432,0,0,0,1,0,50,1,1,1,1,0,1,0,1550
988,0,0,0,1,0,70,3,2,2,2,0,1,1,2369
5671,1,0,0,0,0,220,3,3,2,8,0,0,1,12700
2620,0,0,0,1,0,30,1,1,0,5,0,1,0,860
6483,0,1,0,0,0,68,2,1,0,2,0,1,0,1480
6977,1,0,0,0,0,300,5,5,4,8,0,1,0,7992
2885,1,0,0,0,0,160,3,4,3,1,1,1,0,2770
8800,0,1,0,0,0,28,1,1,0,1,0,1,0,1299
1169,0,0,1,0,0,57,1,1,1,2,0,1,1,4960
3650,0,0,0,0,1,60,3,2,1,10,0,1,0,1504
4451,1,0,0,0,0,202,3,4,3,8,0,1,1,12750
4890,1,0,0,0,0,46,1,1,1,12,0,0,1,6445
7095,1,0,0,0,0,600,3,3,4,1,1,1,0,6800
1119,1,0,0,0,0,50,1,1,1,3,0,0,0,6050
4527,0,0,0,0,1,70,2,1,1,3,0,1,0,1250
8307,1,0,0,0,0,500,8,5,2,1,1,1,0,11000
3566,1,0,0,0,0,50,1,1,0,1,0,1,0,950
3594,1,0,0,0,0,70,1,1,1,6,0,0,1,3800
1642,1,0,0,0,0,92,3,2,2,11,0,1,0,2560
6754,1,0,0,0,0,180,3,2,4,1,1,0,1,11000
6907,1,0,0,0,0,44,1,1,0,13,0,0,1,2350
2772,1,0,0,0,0,52,2,1,1,17,0,1,0,1640
7917,1,0,0,0,0,75,2,3,2,5,0,1,0,2899
6781,1,0,0,0,0,100,5,5,2,1,1,0,0,4500
6073,1,0,0,0,0,340,8,5,4,1,1,1,0,7000
1808,1,0,0,0,0,44,1,1,0,4,0,1,1,2950
5161,0,0,1,0,0,160,3,1,2,1,1,1,0,2800
9983,1,0,0,0,0,64,2,1,1,24,0,0,0,2409
3625,0,1,0,0,0,60,1,1,1,2,0,0,0,1635
8088,1,0,0,0,0,120,3,2,2,5,0,1,0,3400
4761,0,0,1,0,0,156,3,2,3,9,0,1,0,3400
4900,0,0,0,0,1,800,4,5,0,1,1,1,0,4275
7203,1,0,0,0,0,100,2,3,2,4,0,1,0,4000
6942,1,0,0,0,0,80,3,1,1,8,0,1,1,3203
3336,0,1,0,0,0,50,1,1,0,1,1,1,1,1100
2574,0,0,0,1,0,42,1,1,1,9,0,1,0,1480
9579,0,0,0,0,1,45,1,1,0,1,1,0,0,875
6252,0,0,1,0,0,97,3,2,0,5,0,1,0,3634
5296,0,1,0,0,0,42,1,1,1,7,0,1,0,1615
1536,1,0,0,0,0,50,1,1,0,3,0,1,0,1900
1302,1,0,0,0,0,30,1,1,1,14,0,1,0,3257
343,0,0,0,0,1,96,3,2,1,2,0,1,0,2422
5485,1,0,0,0,0,216,4,3,4,9,0,1,0,5383
3656,1,0,0,0,0,300,4,3,4,9,0,1,0,10900
1107,1,0,0,0,0,500,3,3,7,1,1,1,0,5500
4464,0,0,1,0,0,104,3,2,1,6,0,1,0,3490
8035,1,0,0,0,0,240,3,3,2,1,1,1,0,4500
8769,1,0,0,0,0,50,2,1,1,24,0,1,0,1870
5632,0,1,0,0,0,280,5,3,3,1,1,1,1,4000
3217,0,0,1,0,0,118,2,2,1,6,0,1,0,5550
3351,0,1,0,0,0,62,2,1,1,7,0,0,0,1862
13,1,0,0,0,0,55,1,1,1,2,0,1,1,4990
1687,0,0,1,0,0,240,3,3,1,8,0,1,1,9300
7010,0,0,0,1,0,154,2,2,1,1,1,1,0,1300
9704,0,0,0,1,0,180,3,3,3,7,0,1,0,10000
9965,0,0,1,0,0,84,3,1,1,3,0,1,0,1800
9559,1,0,0,0,0,360,3,5,3,13,0,1,0,12800
5917,0,0,0,0,1,140,4,2,2,3,0,1,0,2827
2243,1,0,0,0,0,85,2,2,0,1,1,1,0,1700
203,0,1,0,0,0,60,2,1,0,1,0,1,0,1322
2021,0,0,1,0,0,86,3,1,0,3,0,1,0,2058
3937,1,0,0,0,0,307,4,6,4,1,1,1,1,9100
3714,0,0,0,0,1,95,3,2,2,2,0,0,0,1800
400,0,1,0,0,0,90,2,1,1,2,0,1,0,1505
9452,1,0,0,0,0,425,3,4,4,7,0,0,1,16719
8560,0,0,1,0,0,180,3,4,2,7,0,1,1,16210
5345,1,0,0,0,0,520,3,4,3,1,1,1,1,7000
757,0,0,1,0,0,42,1,1,0,4,0,1,1,3300
7160,0,0,1,0,0,85,2,3,0,1,0,1,0,1940
10349,1,0,0,0,0,160,4,2,2,1,1,1,0,2580
10689,0,0,1,0,0,70,3,3,0,8,0,0,1,6980
3166,1,0,0,0,0,160,4,5,3,2,0,1,1,5423
7178,0,0,1,0,0,70,3,2,0,1,0,1,0,1500
568,0,0,0,0,1,176,4,5,3,6,0,1,1,8636
8192,1,0,0,0,0,75,3,1,1,2,0,1,1,2670
4343,1,0,0,0,0,180,3,3,1,3,0,1,0,5300
10310,1,0,0,0,0,100,2,1,1,10,0,0,1,3995
8285,1,0,0,0,0,30,1,1,1,16,0,1,0,2198
8150,1,0,0,0,0,125,2,2,1,1,1,1,1,2800
282,1,0,0,0,0,270,6,3,6,1,1,1,0,4500
1040,0,0,1,0,0,200,4,3,2,7,0,1,0,4240
8564,1,0,0,0,0,145,3,3,1,10,0,1,1,12380
8324,0,0,0,0,1,70,3,1,1,3,0,1,0,1375
9856,0,0,0,0,1,148,2,3,3,12,0,1,0,15870
5250,1,0,0,0,0,120,3,3,2,1,1,1,0,4200
457,0,0,1,0,0,67,2,1,1,2,0,1,0,3417
3189,1,0,0,0,0,199,3,4,5,17,0,1,1,6800
8499,0,1,0,0,0,40,1,1,0,2,0,0,0,1132
8216,1,0,0,0,0,244,4,3,4,2,0,1,1,7149
2322,0,0,1,0,0,108,3,2,2,3,0,1,0,6500
7958,1,0,0,0,0,416,3,5,4,15,0,1,0,15300
2556,0,0,1,0,0,80,2,2,2,2,0,1,0,2988
848,1,0,0,0,0,400,5,4,5,1,1,0,0,13970
6515,0,0,0,0,1,400,3,2,1,1,1,1,0,1600
5745,0,0,0,0,1,250,4,4,0,1,1,1,0,3940
9621,1,0,0,0,0,230,3,3,2,1,1,1,0,2460
3873,1,0,0,0,0,113,3,2,2,1,1,1,0,2990
1394,0,0,0,1,0,400,4,4,3,1,1,1,0,9900
1221,0,0,1,0,0,30,1,1,0,11,0,1,0,1700
6497,1,0,0,0,0,58,2,2,1,12,0,0,1,4928
6935,0,0,1,0,0,140,3,2,2,7,0,1,1,9720
4488,1,0,0,0,0,84,2,2,0,12,0,1,0,2247
9861,1,0,0,0,0,153,3,4,3,17,0,1,1,8300
2731,1,0,0,0,0,52,2,1,1,3,0,0,0,2850
756,1,0,0,0,0,36,2,1,0,6,0,1,0,2380
2003,1,0,0,0,0,88,3,1,2,5,0,1,0,4400
1568,1,0,0,0,0,334,3,3,8,1,1,1,0,8600
106,1,0,0,0,0,300,4,5,4,1,1,1,1,14000
236,0,0,1,0,0,140,3,3,2,4,0,1,1,14280
638,1,0,0,0,0,316,4,6,4,18,0,1,1,12767
3133,1,0,0,0,0,330,3,5,3,15,0,1,0,18400
3394,1,0,0,0,0,25,1,1,1,8,0,1,1,4000
8046,1,0,0,0,0,59,2,1,1,8,0,1,0,3000
6026,1,0,0,0,0,54,2,2,1,8,0,0,0,2969
9476,1,0,0,0,0,40,1,1,0,11,0,0,0,3770
7571,0,0,0,0,1,120,3,4,3,8,0,1,1,8077
702,1,0,0,0,0,55,1,1,1,11,0,0,0,2896
9473,0,1,0,0,0,47,1,1,1,1,0,0,1,2600
8305,1,0,0,0,0,32,1,1,1,15,0,1,0,2230
5889,1,0,0,0,0,218,3,4,2,6,0,0,0,9600
1407,1,0,0,0,0,76,1,2,2,5,0,1,1,3340
3613,1,0,0,0,0,45,2,1,1,11,0,0,0,2177
1628,1,0,0,0,0,18,1,1,0,8,0,1,0,1530
1080,1,0,0,0,0,174,4,5,4,13,0,1,1,6595
9825,1,0,0,0,0,30,1,1,1,8,0,0,1,4158
1966,0,0,0,0,1,68,2,2,1,5,0,1,1,3683
6853,1,0,0,0,0,130,3,2,1,1,0,0,0,5444
10061,1,0,0,0,0,64,2,1,1,8,0,1,1,3300
9526,0,0,1,0,0,76,2,2,2,7,0,0,0,4550
7776,0,0,0,1,0,380,3,3,5,1,1,1,0,7800
9925,1,0,0,0,0,120,3,3,3,11,0,1,0,4300
5278,1,0,0,0,0,240,4,5,3,4,0,1,0,18500
37,0,0,0,0,1,80,3,2,1,1,1,1,0,11000
5708,1,0,0,0,0,246,3,4,4,9,0,1,1,13350
3991,0,0,0,0,1,69,3,2,1,8,0,0,0,1905
4564,1,0,0,0,0,100,3,3,2,7,0,1,1,4368
3309,0,1,0,0,0,75,2,2,0,9,0,0,0,1786
3640,1,0,0,0,0,212,4,4,3,7,0,0,0,11500
10649,1,0,0,0,0,60,2,1,1,11,0,1,0,1893
4691,1,0,0,0,0,830,2,2,2,1,1,1,0,2001
10655,0,0,1,0,0,170,2,3,1,2,0,1,1,6559
7473,0,1,0,0,0,34,1,1,1,6,0,1,1,1680
1765,1,0,0,0,0,147,3,2,2,4,0,1,1,4913
6790,0,0,1,0,0,105,3,2,1,2,0,1,0,2950
5819,1,0,0,0,0,182,3,2,1,6,0,1,0,10990
8920,1,0,0,0,0,35,1,1,1,14,0,0,0,3700
2340,1,0,0,0,0,64,3,2,2,16,0,1,0,2030
10072,0,1,0,0,0,42,1,1,1,1,0,1,1,3050
3621,0,0,0,0,1,200,4,4,2,5,0,1,1,5000
7264,1,0,0,0,0,150,3,1,2,9,0,1,0,4300
6282,1,0,0,0,0,35,1,1,0,1,1,1,0,700
5228,0,1,0,0,0,40,1,1,0,3,0,1,0,1180
2656,0,0,0,0,1,72,3,1,1,3,0,0,0,1200
5150,0,1,0,0,0,46,1,1,1,2,0,1,0,1030
4351,1,0,0,0,0,300,4,3,3,1,1,1,0,4000
3377,0,1,0,0,0,64,2,2,0,7,0,0,0,1900
6684,1,0,0,0,0,65,2,1,2,21,0,1,0,5111
7641,0,0,1,0,0,50,1,1,0,4,0,1,0,1300
9593,0,0,0,1,0,75,3,2,2,5,0,1,0,1930
3242,1,0,0,0,0,150,3,3,2,3,0,1,1,4100
248,1,0,0,0,0,25,1,1,0,14,0,1,0,1907
5166,0,0,1,0,0,93,3,3,1,7,0,1,0,4297
6838,1,0,0,0,0,85,2,2,1,13,0,1,0,5601
2867,0,0,0,0,1,100,7,2,1,1,1,1,0,2800
9254,0,1,0,0,0,102,2,1,0,3,0,1,0,2007
3665,1,0,0,0,0,220,3,4,2,1,1,1,0,15400
4278,1,0,0,0,0,148,3,3,3,13,0,0,1,6412
4047,0,1,0,0,0,400,4,4,6,1,1,1,0,7000
730,0,0,0,0,1,65,2,1,1,9,0,1,0,1995
518,1,0,0,0,0,230,2,3,3,17,0,1,1,10575
2748,0,0,0,0,1,700,7,6,5,1,1,1,0,15000
8697,0,1,0,0,0,135,3,2,1,8,0,1,0,3465
6485,1,0,0,0,0,50,2,1,1,1,1,0,0,1300
9899,1,0,0,0,0,130,3,2,2,1,0,1,1,4600
1127,1,0,0,0,0,97,3,2,2,1,0,1,0,3730
6972,1,0,0,0,0,300,3,6,6,1,1,0,0,5000
1295,0,0,0,1,0,84,2,1,1,7,0,1,0,1690
3476,1,0,0,0,0,135,3,3,1,10,0,1,1,5900
7408,0,1,0,0,0,41,1,1,1,6,0,1,0,2500
5429,0,0,1,0,0,120,2,2,0,1,0,1,1,5950
4140,0,0,0,1,0,55,1,1,0,14,0,1,0,1700
1381,1,0,0,0,0,420,4,3,4,1,1,1,0,15000
1545,1,0,0,0,0,56,2,2,2,1,0,1,0,2110
591,1,0,0,0,0,275,4,5,4,1,0,1,0,13900
452,0,0,1,0,0,65,1,1,0,1,1,1,0,2100
960,0,0,1,0,0,25,1,1,0,1,0,1,0,750
1655,1,0,0,0,0,55,2,1,1,18,0,1,0,2625
2245,1,0,0,0,0,136,3,4,3,7,0,1,0,6400
4561,1,0,0,0,0,25,1,1,0,3,0,0,0,1505
3485,1,0,0,0,0,520,3,4,8,1,1,0,0,10000
54,1,0,0,0,0,31,1,1,0,4,0,1,0,2720
3265,0,1,0,0,0,84,2,2,2,6,0,1,0,3857
461,1,0,0,0,0,205,3,3,3,1,1,1,0,5525
7213,1,0,0,0,0,43,2,1,1,1,0,0,0,2125
9373,0,0,0,0,1,260,4,3,4,1,1,0,0,4500
3060,1,0,0,0,0,287,4,4,4,6,0,0,0,19200
7662,1,0,0,0,0,175,3,5,1,1,1,1,0,5900
9153,1,0,0,0,0,45,1,1,1,3,0,1,1,6850
947,0,1,0,0,0,68,3,2,1,10,0,1,0,2200
3371,0,1,0,0,0,46,1,1,1,3,0,1,0,1379
7887,1,0,0,0,0,138,2,3,2,9,0,1,1,4262
4868,0,0,0,0,1,30,1,1,0,2,0,1,0,525
6586,0,0,1,0,0,75,3,2,0,8,0,1,0,2415
6017,1,0,0,0,0,95,2,1,1,1,1,1,0,2900
867,0,0,0,0,1,840,5,6,5,1,1,1,0,8000
2467,1,0,0,0,0,49,2,1,1,11,0,1,0,2350
9953,0,0,1,0,0,20,1,1,0,5,0,1,0,950
8449,1,0,0,0,0,129,3,5,0,14,0,1,0,7200
3459,0,0,0,0,1,70,2,1,0,1,1,0,0,1030
8721,1,0,0,0,0,238,4,4,3,1,0,0,0,7765
413,1,0,0,0,0,90,2,2,2,15,0,0,1,11400
592,0,0,0,0,1,450,2,2,5,1,1,1,0,1512
6526,0,0,1,0,0,26,1,1,0,2,0,0,0,1550
8104,0,0,0,1,0,25,1,1,0,3,0,0,0,1220
199,0,0,1,0,0,50,1,1,0,8,0,1,0,3500
5867,1,0,0,0,0,40,1,1,1,8,0,0,1,6600
10515,0,0,0,1,0,26,1,1,0,2,0,1,0,910
9943,1,0,0,0,0,387,4,6,4,1,0,1,0,11600
5918,0,0,0,0,1,95,3,4,1,9,0,1,0,3957
4892,1,0,0,0,0,33,1,1,1,11,0,0,1,4180
1298,1,0,0,0,0,71,3,2,1,2,0,1,0,3030
2198,0,0,1,0,0,70,2,2,0,11,0,1,0,2429
5985,0,1,0,0,0,46,1,1,0,5,0,1,0,1270
5913,1,0,0,0,0,35,1,1,1,2,0,1,0,3412
7771,0,0,0,0,1,180,3,3,0,1,1,1,0,3200
10056,1,0,0,0,0,210,4,4,4,8,0,0,0,8000
3115,1,0,0,0,0,93,3,2,1,10,0,1,0,4897
682,1,0,0,0,0,38,1,1,0,13,0,1,0,3414
6288,1,0,0,0,0,50,1,1,0,1,1,0,0,1150
1492,1,0,0,0,0,80,1,1,1,1,1,1,0,1150
